t_ms,clip_id,ax,ay,az,gx,gy,gz,label
5828,1,-0.043091,0.004517,1.02124,1.037598,0.915527,0.915527,quieto_mesa
5838,1,-0.043091,0.003906,1.021118,0.915527,0.732422,0.915527,quieto_mesa
5848,1,-0.043457,0.00415,1.021729,1.037598,0.915527,0.854492,quieto_mesa
5858,1,-0.041626,0.004028,1.022217,0.915527,0.915527,0.854492,quieto_mesa
5868,1,-0.041748,0.003784,1.02124,1.098633,0.854492,0.976562,quieto_mesa
5878,1,-0.042603,0.004395,1.021851,1.159668,0.976562,0.976562,quieto_mesa
5888,1,-0.04248,0.00415,1.021851,0.976562,1.037598,0.854492,quieto_mesa
5908,1,-0.042358,0.00354,1.022339,1.098633,0.915527,0.854492,quieto_mesa
5918,1,-0.041626,0.003784,1.022095,0.976562,0.915527,0.793457,quieto_mesa
5928,1,-0.042725,0.003906,1.021851,0.915527,0.854492,1.037598,quieto_mesa
5938,1,-0.041992,0.004028,1.021851,1.159668,0.915527,1.037598,quieto_mesa
5951,1,-0.043091,0.003906,1.022217,1.037598,1.098633,0.915527,quieto_mesa
5960,1,-0.042725,0.003906,1.020996,1.098633,0.976562,0.915527,quieto_mesa
5970,1,-0.041748,0.00415,1.022095,1.098633,0.915527,0.854492,quieto_mesa
5979,1,-0.042358,0.00415,1.022827,1.098633,0.976562,0.915527,quieto_mesa
5988,1,-0.041504,0.004517,1.021362,1.098633,1.037598,1.037598,quieto_mesa
5998,1,-0.042603,0.003784,1.022827,0.854492,0.854492,1.037598,quieto_mesa
6008,1,-0.043091,0.004272,1.022583,1.037598,0.915527,0.976562,quieto_mesa
6018,1,-0.042969,0.003784,1.021973,1.098633,0.976562,0.976562,quieto_mesa
6028,1,-0.04248,0.003784,1.021362,1.037598,1.098633,0.976562,quieto_mesa
6038,1,-0.041748,0.004517,1.021973,1.037598,1.159668,0.915527,quieto_mesa
6048,1,-0.042969,0.00415,1.02124,1.037598,0.915527,0.915527,quieto_mesa
6068,1,-0.042603,0.003174,1.021606,1.037598,1.037598,1.037598,quieto_mesa
6079,1,-0.04187,0.003418,1.021729,1.037598,1.098633,1.037598,quieto_mesa
6088,1,-0.042725,0.003418,1.022095,1.037598,0.976562,0.915527,quieto_mesa
6098,1,-0.041748,0.004272,1.022583,1.098633,0.854492,0.976562,quieto_mesa
6108,1,-0.04248,0.003784,1.021851,1.037598,0.976562,0.915527,quieto_mesa
6119,1,-0.042847,0.004028,1.021484,0.915527,0.854492,0.976562,quieto_mesa
6128,1,-0.04187,0.00415,1.022461,0.915527,0.915527,0.976562,quieto_mesa
6139,1,-0.042725,0.00415,1.022095,0.915527,1.037598,1.037598,quieto_mesa
6148,1,-0.042358,0.00415,1.021484,1.098633,0.854492,0.976562,quieto_mesa
6159,1,-0.043701,0.00415,1.021851,1.098633,0.915527,1.037598,quieto_mesa
6169,1,-0.041992,0.003906,1.021118,1.159668,1.037598,0.793457,quieto_mesa
6179,1,-0.043091,0.003662,1.02124,0.976562,1.098633,0.854492,quieto_mesa
6189,1,-0.04187,0.004639,1.021851,1.159668,0.854492,0.976562,quieto_mesa
6199,1,-0.041382,0.004028,1.022827,1.098633,0.915527,0.915527,quieto_mesa
6209,1,-0.041626,0.003418,1.021362,0.976562,0.976562,0.915527,quieto_mesa
6229,1,-0.041748,0.004028,1.022461,1.098633,1.098633,0.976562,quieto_mesa
6239,1,-0.041382,0.003662,1.021484,1.098633,1.037598,1.037598,quieto_mesa
6249,1,-0.04187,0.004395,1.021484,1.098633,0.976562,0.976562,quieto_mesa
6259,1,-0.042969,0.004028,1.021484,1.037598,1.037598,1.037598,quieto_mesa
6269,1,-0.04248,0.00415,1.022705,1.037598,1.098633,1.098633,quieto_mesa
6279,1,-0.042969,0.003906,1.021484,1.037598,1.098633,1.037598,quieto_mesa
6289,1,-0.042603,0.003906,1.022339,1.220703,1.159668,1.037598,quieto_mesa
6299,1,-0.04187,0.004272,1.021973,1.037598,0.976562,0.976562,quieto_mesa
6309,1,-0.042358,0.004395,1.021118,1.037598,0.793457,0.915527,quieto_mesa
6319,1,-0.042358,0.004028,1.021118,1.037598,1.037598,0.976562,quieto_mesa
6329,1,-0.041992,0.00415,1.022705,0.915527,1.098633,0.976562,quieto_mesa
6339,1,-0.042358,0.003906,1.02124,1.159668,1.098633,0.854492,quieto_mesa
6349,1,-0.042603,0.004272,1.022705,1.220703,0.976562,0.976562,quieto_mesa
