t_ms,clip_id,ax,ay,az,gx,gy,gz,label
21367,1,0.914185,-0.224609,0.072388,5.737305,46.081543,-18.615723,circulos
21377,1,0.891479,-0.238159,0.060059,2.563477,44.311523,-17.456055,circulos
21397,1,0.85437,-0.245972,0.028564,-4.699707,41.625977,-15.625,circulos
21407,1,0.845093,-0.230591,0.028442,-6.958008,40.771484,-14.892578,circulos
21417,1,0.830933,-0.207886,0.024902,-9.94873,40.710449,-14.221191,circulos
21427,1,0.818604,-0.197144,0.023071,-13.427734,40.588379,-13.671875,circulos
21437,1,0.77417,-0.197388,0.004395,-18.310547,38.94043,-14.099121,circulos
21447,1,0.766846,-0.202637,-0.00061,-18.249512,36.682129,-15.441895,circulos
21457,1,0.76001,-0.204224,-0.003906,-17.028809,34.057617,-17.456055,circulos
21468,1,0.752319,-0.199707,-0.002441,-16.357422,31.921387,-19.897461,circulos
21477,1,0.747559,-0.199585,0.000366,-16.418457,30.273437,-22.460937,circulos
21487,1,0.741821,-0.2052,0.028198,-19.775391,26.550293,-23.803711,circulos
21497,1,0.740112,-0.223267,0.004761,-23.376465,25.817871,-22.766113,circulos
21507,1,0.732666,-0.227173,0.007202,-27.587891,25.024414,-21.42334,circulos
21518,1,0.730957,-0.235962,0.011597,-31.738281,24.597168,-19.775391,circulos
21528,1,0.727905,-0.25,0.011963,-35.583496,24.597168,-18.310547,circulos
21538,1,0.7229,-0.272705,0.005981,-38.574219,23.31543,-18.310547,circulos
21548,1,0.708984,-0.329224,0.007446,-40.771484,22.277832,-19.165039,circulos
21558,1,0.714478,-0.35376,0.019287,-41.137695,21.362305,-19.165039,circulos
21568,1,0.718506,-0.378906,0.02832,-42.297363,20.751953,-18.371582,circulos
21578,1,0.714355,-0.397095,0.03125,-43.640137,20.568848,-17.456055,circulos
21588,1,0.713745,-0.414307,0.03418,-44.799805,20.690918,-0.427246,circulos
21598,1,0.707764,-0.431274,0.026489,-47.058105,20.812988,-11.779785,circulos
21608,1,0.706421,-0.435425,0.03418,-47.790527,19.958496,-10.192871,circulos
21618,1,0.705933,-0.440918,0.045898,-47.424316,18.554687,-9.216309,circulos
21628,1,0.70752,-0.443481,0.059326,-47.424316,18.066406,-8.544922,circulos
21638,1,0.712646,-0.452515,0.073853,-48.217773,18.432617,-7.446289,circulos
21648,1,0.712402,-0.466187,0.081543,-50.65918,19.836426,-4.333496,circulos
21658,1,0.699097,-0.471802,0.075684,-51.330566,20.568848,-2.441406,circulos
